Country Name En,Unit Name,2024 value,2024 flag,2023 value,2023 flag,2022 value,2022 flag,2021 value,2021 flag,2020 value,2020 flag
Malawi,Tonnes - live weight,190090.0,E,212817.863,A,186865.36,A,170560.0,A,171115.22,A
Malaysia,Number,948.0,A,6860.0,A,3829.0,A,2577.0,A,1250.0,A
Malaysia,Tonnes - live weight,1404639.33,A,1286666.21,A,1322438.549,A,1338230.636,A,1391044.797,A
Maldives,Tonnes - live weight,107413.781,A,160683.193,A,155205.444,A,144993.211,A,148565.277,A
Mali,Tonnes - live weight,104178.0,A,112510.0,A,110365.91,A,105400.0,E,117690.0,A
Malta,Tonnes - live weight,1804.448,A,2013.59,A,2809.271,A,2502.896,A,2103.246,A
Marshall Islands,Tonnes - live weight,96819.389,A,73935.7,A,91636.299,A,95819.063,A,88189.912,A
Martinique,Tonnes - live weight,1828.0,A,1219.0,A,1584.0,A,1225.0,A,1691.0,A
Mauritania,Tonnes - live weight,640321.907,A,663269.325,E,703628.563,E,762868.259,A,678425.001,E
Mauritius,Number,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A
Mauritius,Tonnes - live weight,38021.932,A,35798.39,A,33657.459,A,30039.49,A,26000.773,A
Mayotte,Tonnes - live weight,379.0,A,607.0,A,1125.0,A,1261.012,A,1001.059,A
Mexico,Number,0.0,A,0.0,A,0.0,A,1323.0,A,1863.0,A
Mexico,Tonnes - live weight,1920827.116,A,1845569.327,A,1683375.783,A,1672264.981,A,1591535.81,A
Micronesia (Federated States of),Tonnes - live weight,208700.753,A,165347.602,A,176458.901,A,165246.221,A,183782.765,A
Monaco,Tonnes - live weight,1.0,E,1.0,E,1.0,E,1.0,E,1.0,E
Mongolia,Tonnes - live weight,31.0,A,0.0,A,0.0,A,0.0,A,25.0,A
Montenegro,Tonnes - live weight,854.06,A,815.8,A,803.0,A,853.0,A,816.453,A
Montserrat,Tonnes - live weight,30.0,E,30.0,E,30.0,E,30.0,E,25.0,E
Morocco,Tonnes - live weight,1426660.849,A,1434779.585,A,1569847.426,A,1431450.989,A,1396462.814,A
Mozambique,Tonnes - live weight,495725.06,E,475479.829,E,443945.275,E,409559.2,E,388637.42,E
Myanmar,Tonnes - live weight,1736760.0,E,1623150.0,E,1714230.0,E,1542150.0,E,1770240.0,E
Namibia,Tonnes - live weight,381230.096,E,373140.676,E,376109.529,E,317853.283,E,329670.368,A
Nauru,Tonnes - live weight,87347.942,A,90699.009,A,108054.282,A,123412.544,A,97711.085,A
Nepal,Tonnes - live weight,21000.0,A,21000.0,A,21000.0,A,21000.0,A,21000.0,A
Netherlands (Kingdom of the),Tonnes - live weight,296838.057,A,267561.65,A,299695.694,A,296483.115,A,309549.31,A
New Caledonia,Tonnes - live weight,4037.165,A,3969.814,A,3709.381,A,3304.953,A,3326.596,A
New Zealand,Tonnes - live weight,324446.638,A,327209.758,A,346525.084,A,343507.03,A,364964.003,A
Nicaragua,Tonnes - live weight,58165.0,E,61408.502,A,52864.438,A,55286.931,A,44047.021,A
Niger,Tonnes - live weight,50927.001,E,49371.56,A,47670.0,E,47200.0,A,46000.001,A
Nigeria,Tonnes - live weight,855310.0,E,799635.0,E,784124.0,A,805210.0,A,783101.704,A
Niue,Tonnes - live weight,35.0,E,35.0,E,35.0,E,35.0,E,29.0,E
Norfolk Island,Tonnes - live weight,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
Northern Mariana Islands,Tonnes - live weight,61.621,A,91.55,A,162.423,A,199.691,A,98.917,A
North Macedonia,Tonnes - live weight,138.369,A,280.0,E,447.0,A,514.0,A,472.875,A
Norway,Number,2976.0,A,2853.0,A,2481.0,A,6052.0,A,11276.0,A
Norway,Tonnes - live weight,2326308.866,A,2541551.218,A,2626406.832,A,2579756.678,A,2625368.131,A
Oman,Tonnes - live weight,727005.478,E,706601.047,A,748357.443,A,922083.336,A,793418.923,A
Other NEI,Tonnes - live weight,47858.769,A,38140.789,A,40498.193,A,36531.319,A,51302.924,A
Pakistan,Tonnes - live weight,536745.001,A,509998.0,A,500045.256,A,496058.999,A,492783.001,A
Palau,Tonnes - live weight,803.11,E,803.63,E,813.035,E,824.0,E,776.0,E
Palestine,Tonnes - live weight,250.0,E,3260.0,E,4195.0,E,4660.7,A,4661.9,A
Panama,Tonnes - live weight,276798.857,A,218875.851,A,188255.947,A,222716.691,E,218464.206,A
Papua New Guinea,Number,273.0,A,8410.0,A,6874.0,A,9518.0,A,5772.0,A
Papua New Guinea,Tonnes - live weight,342535.244,A,241977.526,A,242571.086,A,223559.94,A,257405.737,A
Paraguay,Tonnes - live weight,17260.0,E,17975.0,E,17905.0,E,17560.0,E,16975.0,E
Peru,Tonnes - live weight,5764700.904,A,3519380.723,A,5368100.711,A,6576171.075,A,5676965.489,A
Philippines,Number,1019.0,A,,,,,,,1835.0,A
Philippines,Tonnes - live weight,1625893.599,A,1717841.797,A,1771246.273,A,1842336.894,A,1915224.314,A
Pitcairn,Tonnes - live weight,3.0,E,3.0,E,3.0,E,3.0,E,3.0,E
Poland,Tonnes - live weight,140740.716,A,171783.383,A,172523.358,A,195384.5,A,200390.296,A
Portugal,Tonnes - live weight,237008.239,A,163772.722,E,159890.53,A,179526.683,A,159947.959,A
Puerto Rico,Tonnes - live weight,2130.0,E,2149.0,E,2150.347,A,1580.0,E,1579.709,A
Qatar,Tonnes - live weight,20377.0,A,18970.4,A,18439.0,A,16554.5,A,15086.5,A
Republic of Korea,Number,1.0,A,17.0,A,5.0,A,12.0,A,2.0,A
Republic of Korea,Tonnes - live weight,1273389.617,A,1386147.68,A,1288142.167,A,1361588.266,A,1376877.247,A
Republic of Moldova,Tonnes - live weight,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A
R�union,Tonnes - live weight,3017.0,A,3162.16,A,2690.55,A,2834.552,A,2531.53,A
Romania,Tonnes - live weight,5758.09,E,6613.72,E,6256.436,A,6350.6,A,7972.88,E
Russian Federation,Number,7042.0,A,4739.0,A,5547.0,A,8766.0,A,7728.0,A
Russian Federation,Tonnes - live weight,5011667.595,A,5393295.2,A,4991530.0,A,5167703.0,A,5081017.071,A
Rwanda,Tonnes - live weight,34670.0,E,33680.0,E,32735.0,E,32094.0,A,29979.0,A
Saint Barth�lemy,Tonnes - live weight,100.0,E,100.0,E,100.0,E,100.0,E,100.0,E
Saint Kitts and Nevis,Tonnes - live weight,675.0,E,675.0,E,670.0,E,672.513,A,646.54,A
Saint Lucia,Tonnes - live weight,1828.066,A,1852.597,A,1853.988,A,1574.691,A,1423.829,A
Saint Martin (French part),Tonnes - live weight,90.0,E,90.0,E,90.0,E,90.0,E,90.0,E
Saint Pierre and Miquelon,Tonnes - live weight,2978.0,A,2005.0,A,2612.2,A,2488.35,A,2692.83,A
Saint Vincent and the Grenadines,Number,1.0,A,1.0,A,1.0,A,1.0,A,,
Saint Vincent and the Grenadines,Tonnes - live weight,970.0,E,994.906,A,1250.0,E,1586.279,A,2127.542,A
Samoa,Tonnes - live weight,8093.54,E,10534.45,E,9587.716,E,9152.709,E,9950.816,E
San Marino,Tonnes - live weight,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
Sao Tome and Principe,Tonnes - live weight,5730.473,E,5647.747,E,5703.38,A,5117.247,A,5679.458,A
Saudi Arabia,Tonnes - live weight,85324.373,A,74708.773,A,64263.015,A,63361.999,A,64678.995,A
Senegal,Number,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A
Senegal,Tonnes - live weight,500076.971,A,527929.672,A,505896.212,E,513957.077,A,458363.425,A
Serbia,Tonnes - live weight,2495.0,A,2470.0,A,2379.0,A,2353.0,A,1932.0,A
Seychelles,Tonnes - live weight,135662.615,A,139219.689,A,137842.167,A,146290.808,A,142376.45,A
Sierra Leone,Tonnes - live weight,208810.0,E,206900.0,E,215140.0,E,204900.0,E,200630.0,E
Singapore,Tonnes - live weight,373.95,A,174.0,A,207.405,A,306.32,A,355.59,A
Sint Maarten (Dutch part),Tonnes - live weight,253.0,E,253.0,E,253.0,E,253.0,E,253.0,E
Slovakia,Tonnes - live weight,1515.6,A,1655.55,A,1895.0,E,1815.0,E,1736.0,A
Slovenia,Tonnes - live weight,223.273,A,261.532,A,286.268,A,268.81,A,312.03,A
Solomon Islands,Tonnes - live weight,69440.025,A,41699.741,A,50299.145,A,50213.497,A,40542.978,A
Somalia,Tonnes - live weight,97871.0,A,99099.4,A,97337.85,A,96830.45,A,90075.45,A
South Africa,Number,42753.0,A,93506.0,A,109911.0,A,121478.0,A,50844.0,A
South Africa,Tonnes - live weight,479185.107,A,430013.297,A,474882.431,A,494906.749,A,603242.342,A
South Sudan,Tonnes - live weight,55000.0,E,50000.0,E,48000.0,E,45000.0,E,43000.0,E
Spain,Tonnes - live weight,764462.163,A,766557.429,A,809104.019,A,803120.915,A,798279.391,A
Sri Lanka,Tonnes - live weight,355901.5,A,338161.202,A,332337.722,A,372145.552,A,382265.799,A
Sudan,Tonnes - live weight,42060.0,E,40960.0,E,44250.0,E,40970.0,E,37660.0,E
Suriname,Tonnes - live weight,32146.927,E,31853.046,E,33650.227,E,32131.439,E,29772.0,E
Sweden,Tonnes - live weight,139591.456,A,154654.134,A,152028.063,A,167366.288,A,179642.86,A
Switzerland,Tonnes - live weight,1551.0,E,1526.0,E,1485.92,A,1485.92,A,1485.92,A
Syrian Arab Republic,Tonnes - live weight,4835.0,E,4450.0,E,4430.0,E,4310.0,E,3845.0,E
Taiwan Province of China,Number,23.0,A,21.0,A,16.0,A,20.0,A,19.0,A
Taiwan Province of China,Tonnes - live weight,773866.437,A,613628.418,A,602758.712,A,688388.192,A,601676.184,A
Tajikistan,Tonnes - live weight,2620.0,E,2600.002,E,2507.001,E,2350.215,E,1809.86,E
Thailand,Number,110805.0,A,81494.0,A,43204.0,A,21844.0,A,14392.0,A
Thailand,Tonnes - live weight,1542786.61,A,1466165.62,A,1385491.33,A,1412123.25,A,1588859.33,E
Timor-Leste,Tonnes - live weight,7875.81,A,6491.57,A,6554.39,A,6126.94,A,6930.95,A
Togo,Tonnes - live weight,20322.521,A,22236.934,A,21506.503,A,17984.0,A,18034.0,A
Tokelau,Tonnes - live weight,96.0,A,69.0,A,38.0,E,70.0,A,70.0,A
Tonga,Tonnes - live weight,1119.9,E,1137.67,E,1324.111,E,1114.83,E,1096.161,E
Trinidad and Tobago,Tonnes - live weight,12938.074,E,13111.316,E,13069.012,A,13084.169,A,12912.669,A
Tunisia,Tonnes - live weight,86030.0,A,107824.333,A,112282.321,A,102805.199,A,104511.291,A
T�rkiye,Tonnes - live weight,355994.5,A,454058.6,A,335002.9,A,328158.0,A,364399.8,A
Turkmenistan,Tonnes - live weight,15955.0,E,15210.0,E,15097.0,E,15042.0,E,14605.0,E
Turks and Caicos Islands,Tonnes - live weight,2306.0,A,2358.7,A,3241.0,A,2277.0,A,1297.0,A
Tuvalu,Tonnes - live weight,45442.0,A,49000.0,A,42781.0,A,33935.087,A,11295.0,A
Uganda,Tonnes - live weight,538160.0,A,716513.0,A,444935.0,A,634594.96,A,578684.0,A
Ukraine,Tonnes - live weight,34914.349,E,28518.392,A,23186.41,A,63047.578,A,69467.125,A
United Arab Emirates,Tonnes - live weight,58165.0,E,59445.0,A,65422.0,A,67944.0,A,71388.0,A
United Kingdom of Great Britain and Northern Ireland,Tonnes - live weight,755323.079,A,717353.744,A,621748.233,A,635572.808,A,627472.128,A
United Republic of Tanzania,Number,30.0,A,10.0,A,33.0,A,1345.0,A,1243.0,A
United Republic of Tanzania,Tonnes - live weight,530902.607,A,481367.043,A,472892.761,A,477775.425,A,472951.163,A
"United Republic of Tanzania, Zanzibar",Tonnes - live weight,38930.0,E,38985.0,A,38650.0,E,36800.0,E,38105.0,A
United States of America,Number,451846.0,A,467768.0,A,559855.5,A,411991.0,A,424024.0,A
United States of America,Tonnes - live weight,3761934.0,A,4182039.0,A,4141525.0,A,4313325.0,A,4266949.0,A
United States Virgin Islands,Tonnes - live weight,493.84,E,435.364,A,414.152,A,420.141,A,355.269,A
Uruguay,Number,0.0,A,0.0,A,,,,,,
Uruguay,Tonnes - live weight,48354.921,A,67098.545,A,68958.898,A,66300.607,A,62879.956,A
Uzbekistan,Tonnes - live weight,43613.228,E,50708.468,E,42319.785,E,40216.496,E,46100.002,E
Vanuatu,Tonnes - live weight,44422.051,A,69321.451,A,85871.245,A,73389.907,A,64946.757,A
Venezuela (Bolivarian Republic of),Tonnes - live weight,202663.118,E,184402.57,E,192596.464,E,203072.236,E,196843.442,E
Viet Nam,Tonnes - live weight,3433838.54,A,3435922.09,E,3456797.93,E,3540250.15,E,3506056.76,E
Wallis and Futuna Islands,Tonnes - live weight,147.99,A,138.305,A,204.326,A,264.0,A,263.8,A
Yemen,Tonnes - live weight,152430.0,E,151016.469,A,150470.0,E,149530.0,E,144516.513,E
Zambia,Number,14963.0,A,16201.0,A,8266.5,A,13115.0,A,22767.0,A
Zambia,Tonnes - live weight,108000.0,E,102225.0,E,109428.0,A,105125.0,A,106836.0,A
Zimbabwe,Number,78607.0,A,65787.0,A,76204.5,A,87460.0,A,76479.0,A
Zimbabwe,Tonnes - live weight,26299.0,A,26218.0,A,26161.0,A,22734.0,A,26671.559,A
Iceland,Number,,,24.0,A,148.0,A,1.0,A,3.0,A
Spain,Number,,,1.0,A,25.0,A,12.0,A,10.0,A
Bangladesh,Number,,,,,0.0,A,0.0,A,0.0,A
Germany,Number,,,,,11.0,A,16.0,A,16.0,A
Netherlands (Kingdom of the),Number,,,,,7.0,A,14.0,A,6.0,A
New Zealand,Number,,,,,300.0,A,286.0,A,241.0,A
Panama,Number,,,,,1604.0,A,1600.0,A,1000.0,A
Peru,Number,,,,,1.0,A,,,,
Singapore,Number,,,,,1798.0,A,1836.0,A,2100.0,A
Uganda,Number,,,,,0.0,A,0.0,A,,
United Kingdom of Great Britain and Northern Ireland,Number,,,,,22.0,A,20.0,A,21.0,A
Viet Nam,Number,,,,,6411.55,A,16292.0,A,35215.0,A
Bahamas,Number,,,,,,,0.0,A,0.0,A
Ireland,Number,,,,,,,0.0,A,0.0,A
Italy,Number,,,,,,,4.0,A,6.0,A
Malawi,Number,,,,,,,5443.0,A,,
Namibia,Number,,,,,,,0.0,A,4465.0,A
Venezuela (Bolivarian Republic of),Number,,,,,,,3788.0,A,17251.0,A
Mozambique,Number,,,,,,,,,1950.0,A
